Timestamp, Schematic, Workspace, Bitblox #, Connection #, Uniqueness clauses, Uniqueness time, Collision clauses, Collision time, Short clauses, Short time, Connection clauses, Connection time, Fixed Bitblox, SAT time, Success,
17:53 02-01, Small Remote, 6-3-2, 7, 6, 72072, 0.0639998912811, 43200, 1.29399967194, 55184, 1.67800045013, 7910, 0.180999994278, 0, 0.151000022888, True, 
17:54 02-01, Small Remote, 6-3-2, 7, 6, 72072, 0.0609998703003, 43200, 1.2750005722, 55184, 1.69599962234, 7910, 0.176000118256, 0, 0.133000135422, True, 
17:55 02-01, Two Buttons, 2-2-2, 2, 1, 992, 0.000999927520752, 384, 0.0160000324249, 480, 0.0189998149872, 321, 0.007000207901, 1, 0.0019998550415, True, 
17:55 02-01, Bridged Buttons, 2-2-2, 2, 1, 992, 0.00100016593933, 384, 0.0160000324249, 480, 0.0189998149872, 321, 0.00599980354309, 2, 0.0, False, 
17:55 02-01, Bridged Buttons, 2-2-2, 3, 2, 1488, 0.00200009346008, 1152, 0.0469999313354, 1152, 0.0520000457764, 1026, 0.0260000228882, 2, 0.00299978256226, True, 
17:55 02-01, Double LED, 3-3-2, 5, 4, 12780, 0.0090000629425, 13248, 0.236999988556, 8880, 0.174999952316, 4324, 0.0450000762939, 0, 0.177000045776, True,
18:15 02-01, Remote-2, 6-6-3, 7, 6, 651672, 0.758999824524, 195264, 2.07800030708, 304000, 3.04499983788, 60678, 0.34299993515, 0, 6.95000004768, True, 
18:16 02-01, Remote-3, 6-6-3, 10, 9, 930960, 1.05099987984, 393984, 3.28399991989, 656448, 4.87200021744, 91017, 0.809000015259, 0, 1.21499991417, True, 
18:16 02-01, Remote-4, 6-6-3, 13, 12, 1210248, 1.36800003052, 660096, 6.36100029945, 1142528, 10.0019993782, 121356, 0.671999931335, 0, 52.9460000992, True, 
22:36 02-01, Remote-5, 9-9-2, 16, 15, 3354048, 3.94199991226, 1572480, 10.9939992428, 1985120, 14.6590008736, 152975, 0.813999891281, 0, 21.1079998016, True, 
22:37 02-01, Remote-6, 9-9-2, 19, 18, 3982932, 4.3220000267, 2205792, 14.3660004139, 2848704, 19.1859996319, 183570, 0.973999977112, 0, 121.416000128, True, 
12:51 02-02, Random-3, 6-6-3, 5, 3, 465480, 0.46599984169, 119744, 2.32800006866, 123520, 1.67600011826, 48131, 1.49699997902, 0, 0.703999996185, True, 
12:52 02-02, Random-3, 6-6-3, 5, 3, 465480, 0.460000038147, 99456, 0.59700012207, 82176, 0.499999761581, 36867, 0.227999925613, 0, 0.283000230789, True, 
12:53 02-02, Random-3, 6-6-3, 6, 3, 558576, 0.591000080109, 143040, 0.870000600815, 172800, 1.03799939156, 23811, 0.0820000171661, 0, 0.350999832153, True, 
12:53 02-02, Random-3, 6-6-3, 5, 3, 465480, 0.466000080109, 100224, 0.957000255585, 94336, 0.820999622345, 66307, 0.662000179291, 0, 0.791000127792, True, 
12:53 02-02, Random-3, 6-6-3, 5, 3, 465480, 0.465000152588, 119744, 2.66599988937, 136320, 3.13700008392, 54787, 0.344000101089, 0, 19.885999918, True, 
12:54 02-02, Random-5, 6-6-3, 8, 5, 744768, 0.796000003815, 297152, 2.44099998474, 331456, 2.60599994659, 71813, 0.455000162125, 0, 0.993999958038, True, 
12:55 02-02, Random-5, 6-6-3, 9, 5, 837864, 0.946000099182, 318720, 1.93499994278, 348480, 2.117000103, 64133, 0.230000019073, 0, 1.39100003242, True, 
12:56 02-02, Random-5, 6-6-3, 8, 5, 744768, 0.783999919891, 209664, 1.30300068855, 383616, 2.31499934196, 40709, 0.143000125885, 0, 0.496999979019, True, 
12:56 02-02, Random-5, 6-6-3, 8, 5, 744768, 0.789999961853, 254016, 2.92799901962, 413440, 4.51000094414, 52229, 0.272000074387, 0, 12.6209998131, True, 
12:57 02-02, Random-8, 6-6-3, 12, 8, 1117152, 1.26799988747, 561792, 3.50600099564, 885120, 5.41399908066, 57608, 0.567000150681, 0, 3.16199994087, True, 
13:04 02-02, Random-8, 6-6-3, 12, 8, 1117152, 1.2650001049, 563904, 5.55900144577, 894208, 8.43599843979, 93704, 0.726999998093, 0, 45.3990001678, True, 
13:05 02-02, Random-8, 6-6-3, 11, 8, 1024056, 1.05799984932, 530496, 3.21299982071, 576192, 3.51900005341, 85256, 0.299000024796, 0, 104.177000046, False, 
13:07 02-02, Random-8, 6-6-3, 12, 9, 1117152, 0.956000089645, 625152, 3.80499958992, 686784, 4.1920003891, 105225, 0.37099981308, 0, 152.173000097, False, 
13:10 02-02, Random-8, 6-6-3, 13, 10, 1210248, 1.14299988747, 727296, 4.55699944496, 808704, 5.07000041008, 122506, 0.441999912262, 0, 126.247999907, False, 
13:12 02-02, Random-8, 6-6-3, 14, 11, 1303344, 1.25300002098, 836928, 5.35100102425, 939264, 6.04699897766, 142475, 0.540999889374, 0, 135.887000084, False, 
13:15 02-02, Random-8, 6-6-3, 15, 12, 1396440, 1.32100009918, 954048, 6.05599927902, 1081536, 6.91800069809, 158988, 0.641000032425, 0, 459.217000008, False, 
14:30 02-02, Random-8, 6-6-3, 11, 8, 1024056, 1.11500000954, 473280, 2.98700094223, 661056, 4.15599918365, 81800, 0.296999931335, 0, 3.02399992943, True, 
14:30 02-02, Random-8, 6-6-3, 10, 8, 930960, 1.09399986267, 449408, 3.78599977493, 588832, 4.79400038719, 91848, 0.915999889374, 0, 12.0569999218, True, 
14:34 02-02, Random-8, 6-6-3, 11, 8, 1024056, 1.11199998856, 532736, 7.3200006485, 833632, 10.4619991779, 80456, 0.480999946594, 0, 83.739000082, True, 
14:37 02-02, Random-8, 6-6-3, 13, 8, 1210248, 1.37300014496, 803584, 7.05800032616, 917856, 8.13899946213, 97224, 0.444000005722, 0, 25.8550000191, True, 
14:41 02-02, Random-8, 6-6-3, 12, 8, 1117152, 1.36299991608, 625152, 3.97399950027, 759168, 4.83400058746, 89480, 0.332000017166, 0, 2.97300004959, True, 
14:42 02-02, Random-8, 6-6-3, 10, 8, 930960, 1.09100008011, 500736, 5.81800031662, 532800, 6.38799977303, 129928, 1.25699996948, 0, 27.371999979, True, 
14:48 02-02, Random-8, 9-9-3, 11, 8, 5190966, 6.24000000954, 1390880, 9.25699996948, 1944464, 12.8920001984, 189608, 0.694999933243, 0, 21.7109999657, True, 
14:51 02-02, Random-8, 9-9-3, 13, 8, 6134778, 6.69199991226, 2379664, 16.7800004482, 2502960, 18.5239994526, 278088, 1.25, 0, 14.4430000782, True, 
