Timestamp, Schematic, Workspace, Bitblox #, FGU #, Connection #, Uniqueness clauses, Uniqueness time, Collision clauses, Collision time, Short clauses, Short time, Connection clauses, Connection time, Fixed Bitblox, MemError, SAT time (TO=240), SAT
00:07 02-05, Remote-1, 5-5-2, 4, 72, 3, 79600, 0.0620000362396, 21312, 0.819000005722, 20000, 0.977999925613, 6915, 0.095999956131, 0, 0, 0.0670001506805, 1, 
00:08 02-05, Remote-1, 6-6-2, 4, 72, 3, 165312, 0.137000083923, 35712, 0.865999698639, 32032, 1.07600021362, 11203, 0.109999895096, 0, 0, 0.123000144958, 1, 
00:08 02-05, Remote-1, 7-7-2, 4, 72, 3, 306544, 0.31500005722, 53952, 0.938000440598, 47040, 1.11399960518, 16579, 0.121000051498, 0, 0, 0.199999809265, 1, 
00:08 02-05, Remote-1, 8-8-2, 4, 72, 3, 523264, 0.565999984741, 76032, 1.04000020027, 65024, 1.19299960136, 23043, 0.142999887466, 0, 0, 0.31299996376, 1, 
00:08 02-05, Remote-1, 9-9-2, 4, 72, 3, 838512, 0.9359998703, 101952, 1.15600013733, 85984, 1.27699995041, 30595, 0.313999891281, 0, 0, 0.4359998703, 1, 
00:08 02-05, Remote-1, 10-10-2, 4, 72, 3, 1278400, 1.32899999619, 131712, 1.27500009537, 109920, 1.37299990654, 39235, 0.18499994278, 0, 0, 0.605999946594, 1, 
00:08 02-05, Remote-1, 11-11-2, 4, 72, 3, 1872112, 2.01699995995, 165312, 1.45900034904, 136832, 1.51399970055, 48963, 0.213000059128, 0, 0, 0.845999956131, 1, 
00:08 02-05, Remote-2, 5-5-2, 7, 96, 6, 139300, 0.124000072479, 72864, 1.29200053215, 85440, 1.60899925232, 13830, 0.194999933243, 0, 0, 0.837000131607, 1, 
00:08 02-05, Remote-2, 6-6-2, 7, 96, 6, 289296, 0.248999834061, 116352, 1.47100019455, 130880, 1.87999987602, 22406, 0.219000101089, 0, 0, 6.617000103, 1, 
00:09 02-05, Remote-2, 7-7-2, 7, 96, 6, 536452, 0.579999923706, 170400, 1.74899983406, 186368, 2.08800029755, 33158, 0.244999885559, 0, 0, 0.461999893188, 1, 
00:09 02-05, Remote-2, 8-8-2, 7, 96, 6, 915712, 0.992000102997, 235008, 2.05000042915, 251904, 2.41299962997, 46086, 0.289000034332, 0, 0, 0.671000003815, 1, 
00:09 02-05, Remote-2, 9-9-2, 7, 96, 6, 1467396, 1.60000014305, 310176, 2.43999958038, 327488, 2.80600047112, 61190, 0.332000017166, 0, 0, 0.943000078201, 1, 
00:09 02-05, Remote-2, 10-10-2, 7, 96, 6, 2237200, 2.47600007057, 395904, 2.75800085068, 413120, 3.1159992218, 78470, 0.388000011444, 0, 0, 1.29699993134, 1, 
00:09 02-05, Remote-2, 11-11-2, 7, 96, 6, 3276196, 3.42100000381, 492192, 3.22499966621, 508800, 3.60000038147, 97926, 0.424999952316, 0, 0, 1.70000004768, 1, 
00:09 02-05, Remote-3, 5-5-2, 10, 120, 9, 199000, 0.157999992371, 154656, 2.93000054359, 196320, 4.09199953079, 20745, 0.289999961853, 0, 0, 15.4839999676, 0, 
00:10 02-05, Remote-3, 5-5-2, 11, 128, 10, 218900, 0.164000034332, 188640, 3.39999914169, 235376, 4.52200078964, 26922, 0.368999958038, 0, 0, 84.0290000439, 0, 
00:11 02-05, Remote-3, 5-5-2, 12, 136, 11, 238800, 0.182000160217, 225984, 3.83300065994, 278080, 5.21899938583, 32523, 0.391999959946, 0, 0, 56.2190001011, 0, 
00:13 02-05, Remote-3, 6-6-2, 10, 120, 9, 413280, 0.453999996185, 241920, 3.34199976921, 296544, 4.47600030899, 33609, 0.338000059128, 0, 0, 1.20700001717, 1, 
