Timestamp, Schematic, Workspace, Bitblox #, FGU #, Connection #, Uniqueness clauses, Uniqueness time, Collision clauses, Collision time, Short clauses, Short time, Connection clauses, Connection time, Fixed Bitblox, MemError, SAT time, SAT,
18:23 02-02, Random-12, 9-9-3, 16, 168, 12, 7550496, 8.59500002861, 2747360, 16.9250011444, 4032064, 24.6149988174, 269388, 0.901000022888, 0, 
18:26 02-02, Random-8, 9-9-3, 11, 128, 8, 5190966, 6.3259999752, 1390880, 9.07699942589, 1769728, 11.1820006371, 257544, 0.996999979019, 0, 0, 3.23300004005, 1,
18:30 02-02, Random-8, 9-9-3, 9, 112, 8, 4247154, 5.0039999485, 1084000, 6.91500043869, 1053056, 6.77099943161, 246536, 2.01399993896, 0, 0, 36.4680001736, 1, 
18:57 02-02, Random-8, 9-9-3, 12, 136, 8, 5662872, 6.36999988556, 1626752, 9.88199925423, 2362048, 14.1300008297, 163688, 0.657999992371, 0, 0, 53.1050000191, 0, 
18:58 02-02, Random-8, 9-9-3, 13, 144, 9, 6134778, 6.20199990273, 1880336, 11.4509992599, 2709712, 16.0860009193, 229225, 1.00300002098, 0, 0, 
19:02 02-02, Random-8, 9-9-3, 13, 184, 8, 6134778, 6.66700005531, 2379664, 16.552000761, 2471152, 17.8259992599, 284552, 1.37599992752, 0, 0, 16.9119999409, 1, 
19:04 02-02, Random-8, 9-9-3, 11, 128, 8, 5190966, 6.15400004387, 1240560, 8.37500119209, 1827488, 12.0869987011, 313896, 1.25800013542, 0, 0, 3.29099988937, 1, 
19:05 02-02, Random-8, 9-9-3, 11, 128, 8, 5190966, 6.16100001335, 1531408, 9.99800038338, 1501712, 10.3419997692, 227912, 0.751999855042, 0, 0, 
19:07 02-02, Random-8, 9-9-3, 10, 120, 8, 4719060, 5.22300004959, 1172720, 7.39800024033, 1508368, 9.35599970818, 176072, 0.601000070572, 0, 0, 
19:11 02-02, Random-8, 9-9-3, 13, 144, 8, 6134778, 6.71199989319, 2049664, 12.5480005741, 2305776, 14.2859990597, 240456, 0.831999778748, 0, 0, 54.1979999542, 1, 
19:13 02-02, Random-8, 9-9-3, 11, 128, 8, 5190966, 6.15300011635, 1531408, 9.69999933243, 1775648, 11.5750005245, 170888, 0.582000017166, 0, 0, 96.4849998951, 1, 
19:15 02-02, Random-8, 9-9-3, 11, 168, 8, 5190966, 6.18099999428, 1661280, 11.9229989052, 1982560, 14.3480010033, 302280, 1.23099994659, 0, 0, 72.7260000706, 1, 
19:17 02-02, Random-8, 9-9-3, 10, 160, 8, 4719060, 5.23700022697, 1274240, 10.007999897, 1730976, 13.2720000744, 326728, 1.41299986839, 0, 0, 
19:21 02-02, Random-8, 9-9-3, 12, 136, 8, 5662872, 6.41400003433, 1626752, 10.7260000706, 1959904, 13.2990000248, 262280, 0.899999856949, 0, 0, 141.612999916, 1, 
19:24 02-02, Random-8, 9-9-3, 11, 128, 8, 5190966, 6.15900015831, 1390880, 8.17000055313, 1702624, 9.88399934769, 216200, 0.701999902725, 0, 0, 
19:28 02-02, Random-8, 9-9-3, 12, 176, 8, 5662872, 6.43899989128, 2085040, 15.4579994678, 2205504, 16.9210007191, 306280, 2.98900008202, 0, 0, 
19:32 02-02, Random-8, 9-9-3, 12, 176, 8, 5662872, 6.42700004578, 1923792, 13.3190014362, 2175264, 15.2939984798, 331080, 1.53399991989, 0, 0, 29.7590000629, 1, 
19:33 02-02, Random-8, 9-9-3, 13, 144, 8, 6134778, 6.68000006676, 1880336, 12.2479999065, 2362288, 15.3790001869, 313992, 1.11999988556, 0, 0, 26.6099998951, 1, 
19:34 02-02, Random-8, 9-9-3, 12, 136, 8, 5662872, 6.42000007629, 1626752, 10.0549993515, 2224624, 13.5240006447, 234408, 1.00699996948, 0, 0, 39.1760001183, 1, 
19:35 02-02, Random-8, 9-9-3, 11, 128, 8, 5190966, 6.20499992371, 1240560, 8.48399949074, 1789264, 12.1390006542, 284456, 0.982000112534, 0, 0, 202.993999958, 1, 
19:39 02-02, Random-8, 9-9-3, 12, 136, 8, 5662872, 6.44400000572, 1462032, 9.31500053406, 2318672, 14.3509993553, 197672, 0.763999938965, 0, 0, 67.8570001125, 1, 
19:41 02-02, Random-8, 9-9-3, 13, 184, 8, 6134778, 6.6970000267, 2204016, 15.0800001621, 2729984, 18.6599998474, 250760, 0.980000019073, 0, 0, 23.1610000134, 1, 
19:43 02-02, Random-8, 9-9-3, 12, 136, 8, 5662872, 6.42100000381, 1781680, 10.3739998341, 1964368, 11.3210000992, 243048, 0.844000101089, 0, 0, 
19:47 02-02, Random-8, 9-9-3, 14, 152, 8, 6606684, 7.76399993896, 2151632, 13.8019995689, 3051712, 19.4110004902, 255176, 1.02999997139, 0, 0, 7.84699988365, 1, 
19:48 02-02, Random-8, 9-9-3, 11, 168, 8, 5190966, 6.15899991989, 1504640, 11.6829996109, 2042128, 15.6910004616, 306152, 1.30300021172, 0, 0, 72.143999815, 1, 
19:49 02-02, Random-8, 9-9-3, 14, 192, 8, 6606684, 7.75699996948, 2501952, 17.5459988117, 3191280, 21.1810011864, 317096, 2.27199983597, 0, 0, 74.5, 1, 
19:52 02-02, Random-8, 9-9-3, 10, 80, 8, 4719060, 5.25200009346, 1046448, 5.46299886703, 1224576, 6.40100121498, 159848, 0.492000102997, 0, 0, 
19:56 02-02, Random-8, 9-9-3, 11, 88, 8, 5190966, 6.15799999237, 1118160, 5.90700173378, 1605168, 8.4679980278, 182888, 0.569000005722, 0, 0, 2.88899993896, 1, 
19:56 02-02, Random-8, 9-9-3, 11, 128, 8, 5190966, 6.16799998283, 1390880, 8.95099925995, 1866624, 12.0150005817, 190472, 0.651000022888, 0, 0, 7.69799995422, 1, 
19:57 02-02, Random-8, 9-9-3, 10, 160, 8, 4719060, 5.26300001144, 1274240, 10.5490002632, 1431568, 12.667999506, 388968, 1.72900009155, 0, 0, 
20:01 02-02, Random-8, 9-9-3, 11, 88, 8, 5190966, 6.17299985886, 1118160, 5.92800021172, 1513728, 8.01899981499, 168776, 0.523999929428, 0, 0, 129.745999813, 0, 
20:03 02-02, Random-8, 9-9-3, 12, 96, 9, 5662872, 5.40700006485, 1327392, 7.16799902916, 1787328, 9.64000082016, 216009, 0.674999952316, 0, 0, 
20:05 02-02, Random-8, 9-9-3, 13, 184, 8, 6134778, 6.68300008774, 2379664, 17.1469995975, 2548544, 19.218000412, 300264, 1.32899999619, 0, 0, 10.756000042, 1, 
20:06 02-02, Random-8, 9-9-3, 11, 128, 8, 5190966, 6.15700006485, 1390880, 8.92399978638, 1726832, 11.236000061, 255560, 0.943000078201, 0, 0, 20.0390000343, 1, 
20:07 02-02, Random-8, 9-9-3, 14, 192, 8, 6606684, 7.80400013924, 2692000, 19.7640004158, 2837024, 22.1279993057, 306152, 1.30900001526, 0, 0, 16.4960000515, 1, 
20:08 02-02, Random-8, 9-9-3, 10, 120, 8, 4719060, 5.23199987411, 1036800, 7.24400067329, 1535040, 10.422999382, 237224, 0.949000120163, 0, 0, 147.59100008, 1, 
